,UrbanHH,RuralHH
2017,1.64,1.64
2018,1.8,1.8
2019,1.72,1.72
2020,1.64,1.64
2021,1.65,1.65
2022,1.56,1.56
2023,1.71,1.71
2024,1.95,1.95
2025,1.68,1.68
2026,2.08,2.08
2027,1.39,1.39
2028,0.72,0.72
2029,1.06,1.06
2030,1.1,1.1
2031,1.05,1.05
2032,1.2,1.2
2033,0.66,0.66
2034,0.73,0.73
2035,0.42,0.42
2036,0.44,0.44
2037,0.32,0.32
2038,0.21,0.21
2039,0.14,0.14
2040,0.13,0.13
2041,0.02,0.02
2042,0.12,0.12
2043,-0.14,-0.14
2044,-0.29,-0.29
2045,-0.3,-0.3
2046,-0.45,-0.45
2047,-0.82,-0.82
2048,-0.58,-0.58
2049,-0.65,-0.65
2050,-0.72,-0.72
2051,-1.09,-1.09
2052,-1.51,-1.51
2053,-1.42,-1.42
2054,-1.72,-1.72
2055,-1.99,-1.99
2056,-1.29,-1.29
2057,-1.17,-1.17
2058,-1.17,-1.17
2059,-1.01,-1.01
2060,-0.94,-0.94
2061,-0.94,-0.94
2062,-0.94,-0.94
2063,-0.94,-0.94
2064,-0.94,-0.94
2065,-0.94,-0.94
2066,-0.94,-0.94
2067,-0.94,-0.94
2068,-0.94,-0.94
2069,-0.94,-0.94
2070,-0.94,-0.94
2071,-0.94,-0.94
2072,-0.94,-0.94
2073,-0.94,-0.94
2074,-0.94,-0.94
2075,-0.94,-0.94
2076,-0.94,-0.94
2077,-0.94,-0.94
2078,-0.94,-0.94
2079,-0.94,-0.94
2080,-0.94,-0.94
2081,-0.94,-0.94
2082,-0.94,-0.94
2083,-0.94,-0.94
2084,-0.94,-0.94
2085,-0.94,-0.94
2086,-0.94,-0.94
2087,-0.94,-0.94
2088,-0.94,-0.94
2089,-0.94,-0.94
2090,-0.94,-0.94
2091,-0.94,-0.94
2092,-0.94,-0.94
2093,-0.94,-0.94
2094,-0.94,-0.94
2095,-0.94,-0.94
2096,-0.94,-0.94
2097,-0.94,-0.94
2098,-0.94,-0.94
2099,-0.94,-0.94
2100,-0.94,-0.94
