,baseline
2017,1
2018,1.0551687
2019,1.1059614
2020,1.1537151
2021,1.1594795
2022,1.206424
2023,1.2549748
2024,1.3010064
2025,1.3415582
2026,1.3785684
2027,1.405726
2028,1.4324033
2029,1.4599165
2030,1.4809618
2031,1.4988308
2032,1.5150337
2033,1.5283484
2034,1.5453428
2035,1.5610658
2036,1.5793481
2037,1.5972987
2038,1.6153791
2039,1.6325266
2040,1.64746
2041,1.6587459
2042,1.6669476
2043,1.6710209
2044,1.6758809
2045,1.6816664
2046,1.688093
2047,1.6973624
2048,1.7113638
2049,1.7230576
2050,1.7349836
2051,1.7465088
2052,1.7605032
2053,1.7781221
2054,1.794475
2055,1.8145832
2056,1.8388833
2057,1.8565791
2058,1.8739008
2059,1.8917295
2060,1.9076539
2061,0.852127326
2062,0.852127326
2063,0.852127326
2064,0.852127326
2065,0.852127326
2066,0.852127326
2067,0.852127326
2068,0.852127326
2069,0.852127326
2070,0.852127326
2071,0.852127326
2072,0.852127326
2073,0.852127326
2074,0.852127326
2075,0.852127326
2076,0.852127326
2077,0.852127326
2078,0.852127326
2079,0.852127326
2080,0.852127326
2081,0.852127326
2082,0.852127326
2083,0.852127326
2084,0.852127326
2085,0.852127326
2086,0.852127326
2087,0.852127326
2088,0.852127326
2089,0.852127326
2090,0.852127326
2091,0.852127326
2092,0.852127326
2093,0.852127326
2094,0.852127326
2095,0.852127326
2096,0.852127326
2097,0.852127326
2098,0.852127326
2099,0.852127326
2100,0.852127326
